Continente,Pais,Atleta
Asia,China,ZHANG Yufei
Europa,Francia,MARCHAND Leon
Norteamerica,USA,HUSKE Torri
Oceania,Australia,O'CALLAGHAN Mollie
Norteamerica,USA,SMITH Regan
Oceania,Australia,McKEOWN Kaylee
Norteamerica,Canada,McINTOSH Summer
Norteamerica,USA,BILES Simone
Asia,Japon,OKA Shinnosuke
Oceania,Australia,TITMUS Ariarne
Norteamerica,USA,DOUGLASS Kate
Norteamerica,USA,WALSH Gretchen
Norteamerica,USA,LEDECKY Katie
Sudamerica,Brazil,ANDRADE Rebeca
Asia,China,YANG Junxuan
Asia,Corea del Sur,KIM Woojin
Europa,Paises Bajos,LAVREYSEN Harrie
Oceania,Nueva Zelanda,CARRINGTON Lisa
Europa,Paises Bajos,BOL Femke
Europa,Gran Bretania,FINUCANE Emma
Europa,Alemania,LEMKE Max
Europa,Alemania,SCHOPF Jacob
Africa,Kenya,CHEBET Beatrice
Oceania,Nueva Zelanda,HOSKIN Alicia
Asia,Filipinas,YULO Carlos Edriel
Africa,Botswana,TEBOGO Letsile
Europa,Croacia,MATIC Barbara
Norteamerica,Cuba,ALVAREZ BORGES Erislandy
Europa,Republica Checa,DOSTAL Josef
Europa,Dinamarca,ANDERSSON Lasse
Europa,Dinamarca,ARNOLDSEN Thomas
Africa,Egypto,ELGENDY Ahmed
Europa,Espania,BAENA Alex
Africa,Etiopia,TOLA Tamirat
Europa,Italia,ANTROPOVA Ekaterina
Europa,Italia,BACOSI Diana
Sudamerica,Colombia,BARAJAS Angel
Sudamerica,Colombia,LOPEZ Yeison
Sudamerica,Argentina,ALBERTARRIO Agustina
Sudamerica,Argentina,ALONSO Agostina
Sudamerica,Argentina,TRINCHINETTI Eugenia
Sudamerica,Bolivia,GARIBAY Hector
Asia,Arabia Saudita,RAMZY AL Duhamy
Sudamerica,Paraguay,MATHEO Mateos
Europa,Francia,LEAGUE Diamond
